,Entity,Code,Year,Population (historical estimates)
1225,Austria,AUT,2021,8922086
1729,Belgium,BEL,2021,11611416
2593,Bulgaria,BGR,2021,6885864
3889,Croatia,HRV,2021,4060139
4105,Cyprus,CYP,2021,1244193
4177,Czechia,CZE,2021,10510748
4365,Denmark,DNK,2021,5854246
5088,Estonia,EST,2021,1328704
5780,Finland,FIN,2021,5535982
5852,France,FRA,2021,64531448
6284,Germany,DEU,2021,83408560
6500,Greece,GRC,2021,10445368
7508,Hungary,HUN,2021,9709784
7940,Ireland,IRL,2021,4986525
8156,Italy,ITA,2021,59240336
9092,Latvia,LVA,2021,1873926
9524,Lithuania,LTU,2021,2786652
9740,Luxembourg,LUX,2021,639330
10244,Malta,MLT,2021,526751
11612,Netherlands,NLD,2021,17501696
13356,Poland,POL,2021,38307724
13428,Portugal,PRT,2021,10290109
13716,Romania,ROU,2021,19328558
15213,Slovakia,SVK,2021,5447621
15285,Slovenia,SVN,2021,2119408
15789,Spain,ESP,2021,47486932
16100,Sweden,SWE,2021,10467095
